Food Name,Glycemic Index,Calories (per 100g),Carbs (g),Protein (g),Fat (g),Fiber (g),Meal Type,Veg/Non-Veg,Diabetic Suitability
Idli,60,130,25,6,0.5,2,Breakfast|Dinner,Veg,0.8
Dosa (Plain),65,168,29,3.9,3.7,0.9,Breakfast|Dinner,Veg,0.7
Masala Dosa,70,190,32,4,6,2,Breakfast|Dinner,Veg,0.6
Set Dosa,68,175,30,4,5,1.5,Breakfast|Dinner,Veg,0.65
Appam,75,150,30,2,3,1,Breakfast|Dinner,Veg,0.5
Idiyappam,58,120,26,3,0.4,1.2,Breakfast|Dinner,Veg,0.85
Puttu,78,165,35,4,1,1,Breakfast|Dinner,Veg,0.45
Ragi Puttu,52,145,27,5,1.5,5.5,Breakfast|Dinner,Veg,0.9
Wheat Puttu,58,150,29,5,1.8,4,Breakfast|Dinner,Veg,0.85
Oats Puttu,52,135,24,5,2,4,Breakfast|Dinner,Veg,0.9
Upma,68,140,23,4,4,2,Breakfast,Veg,0.7
Aval Upma,62,135,22,3,3,2,Breakfast,Veg,0.8
Kozhukatta,60,210,34,4,6,2,Breakfast|Snack,Veg,0.7
Ela Ada,65,220,36,3,8,3,Snack,Veg,0.6
Unniyappam,72,260,38,4,10,2,Snack,Veg,0.45
Banana (Nendran),55,120,31,1.3,0.4,2.6,Breakfast|Snack,Veg,0.8
Chapati,62,104,20,3,1,3,Lunch|Dinner,Veg,0.8
Wheat Roti,60,150,28,5,2,4,Lunch|Dinner,Veg,0.8
Multigrain Roti,55,155,26,6,2,6,Lunch|Dinner,Veg,0.9
Rice Rotti,72,175,36,3,2,1,Dinner,Veg,0.5
Pathiri,75,180,38,3,1,1,Dinner,Veg,0.45
Wheat Pathiri,62,165,32,5,2,4,Dinner,Veg,0.8
Multigrain Pathiri,55,160,30,6,2,6,Dinner,Veg,0.9
Oats Roti,52,150,25,6,3,6,Dinner,Veg,0.9
Ragi Roti,52,145,26,4,2,5,Dinner,Veg,0.85
Jowar Roti,50,140,25,4,2,5,Dinner,Veg,0.9
Broken Wheat Roti,55,150,27,5,2,4,Dinner,Veg,0.85
Red Rice (Cooked),58,110,23,2.6,0.9,1.8,Lunch,Veg,0.85
